run_start method=moe_wanda model=/data1/ldk/model/Qwen1.5/models--Qwen--Qwen1.5-MoE-A2.7B/snapshots/1a758c50ecb6350748b9ce0a99d2352fd9fc11c9 sparsity=0.5 nsamples=128 routing_mode=dense_softmax routing_power=1.5 cluster_experts=True cluster_k=30
layer=0 delta_rms=0.003155 relative_delta_rms=0.124721 top_zero_col_module=mlp.experts.45.down_proj top_zero_col_ratio=0.075994
layer=1 delta_rms=0.003874 relative_delta_rms=0.046284 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=2 delta_rms=0.005228 relative_delta_rms=0.056251 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=3 delta_rms=0.006329 relative_delta_rms=0.063870 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=4 delta_rms=0.007440 relative_delta_rms=0.070129 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=5 delta_rms=0.008723 relative_delta_rms=0.080094 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=6 delta_rms=0.010226 relative_delta_rms=0.041042 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=7 delta_rms=0.011498 relative_delta_rms=0.044871 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=8 delta_rms=0.012809 relative_delta_rms=0.048110 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=9 delta_rms=0.013486 relative_delta_rms=0.049234 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=10 delta_rms=0.015276 relative_delta_rms=0.053101 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=11 delta_rms=0.017019 relative_delta_rms=0.055810 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=12 delta_rms=0.020209 relative_delta_rms=0.061448 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=13 delta_rms=0.024263 relative_delta_rms=0.066429 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=14 delta_rms=0.030325 relative_delta_rms=0.071631 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=15 delta_rms=0.037474 relative_delta_rms=0.074106 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=16 delta_rms=0.044719 relative_delta_rms=0.075795 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=17 delta_rms=0.053295 relative_delta_rms=0.075191 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=18 delta_rms=0.060631 relative_delta_rms=0.071248 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=19 delta_rms=0.070410 relative_delta_rms=0.070786 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=20 delta_rms=0.082999 relative_delta_rms=0.072444 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=21 delta_rms=0.092504 relative_delta_rms=0.071138 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=22 delta_rms=0.102844 relative_delta_rms=0.066530 top_zero_col_module=mlp.experts.4.down_proj top_zero_col_ratio=0.000710
layer=23 delta_rms=0.101598 relative_delta_rms=0.042388 top_zero_col_module=mlp.experts.26.down_proj top_zero_col_ratio=0.000710
run_complete actual_sparsity=0.500000 ppl_test=7.767734
