Combined Expert Risk Rank / up_proj

+--------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| model  | expert | layers | mean_sig_col | max_sig_col | sig_col_inc | mean_sig_row | max_sig_row | sig_row_inc |
| ckpt_2 | 48     | 24     | 0.0010       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 54     | 24     | 0.0010       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 2      | 24     | 0.0010       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 1      | 24     | 0.0010       | 0.0039      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 40     | 24     | 0.0010       | 0.0039      | 0.7917      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 58     | 24     | 0.0010       | 0.0034      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 16     | 24     | 0.0010       | 0.0029      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 39     | 24     | 0.0010       | 0.0029      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 51     | 24     | 0.0010       | 0.0024      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 26     | 24     | 0.0009       | 0.0034      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 27     | 24     | 0.0009       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 10     | 24     | 0.0009       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 37     | 24     | 0.0009       | 0.0039      | 0.7500      | 0.0017       | 0.0405      | 0.0417      |
| ckpt_2 | 29     | 24     | 0.0009       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 57     | 24     | 0.0009       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 38     | 24     | 0.0009       | 0.0029      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
+--------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
